channelTitle,videoId,channelId,title,viewCount,likeCount,dislikeCount,commentCount,time,commentScore,Y
CrashCourse,HQPA5oNpfM4,UCX6b17PVsYBQ0ip5gyeme-Q,The Columbian Exchange: Crash Course World History #23,3438465,31875,773,4391,729,0.117158281,2241620.923431657
CrashCourse,Vufba_ZcoR0,UCX6b17PVsYBQ0ip5gyeme-Q,The Renaissance: Was it a Thing? - Crash Course World History #22,5005537,47878,2425,6409,693,0.162479983,2518314.724991993
CrashCourse,Vufba_ZcoR0,UCX6b17PVsYBQ0ip5gyeme-Q,The Renaissance: Was it a Thing? - Crash Course World History #22,5005537,47878,2425,6409,693,0.162479983,2518314.724991993
CrashCourse,P3GagfbA2vo,UCX6b17PVsYBQ0ip5gyeme-Q,Evolution: It's a Thing - Crash Course Biology #20,1890291,25587,1719,19540,704,0.33864,1235280.117728
CrashCourse,P3GagfbA2vo,UCX6b17PVsYBQ0ip5gyeme-Q,Evolution: It's a Thing - Crash Course Biology #20,1890291,25587,1719,19540,704,0.33864,941696.3872504
CrashCourse,etmRI2_9Q_A,UCX6b17PVsYBQ0ip5gyeme-Q,"Russia, the Kievan Rus, and the Mongols: Crash Course World History #20",4380021,45571,2303,8425,647,0.049,2163426.0553900003
CrashCourse,etmRI2_9Q_A,UCX6b17PVsYBQ0ip5gyeme-Q,"Russia, the Kievan Rus, and the Mongols: Crash Course World History #20",4380021,45571,2303,8425,647,0.049,2205274.2396000004
CrashCourse,F38BmgPcZ_I,UCX6b17PVsYBQ0ip5gyeme-Q,Taxonomy: Life's Filing System - Crash Course Biology #19,2051616,18011,800,2565,736,0.29512,1031761.4380480001
CrashCourse,F38BmgPcZ_I,UCX6b17PVsYBQ0ip5gyeme-Q,Taxonomy: Life's Filing System - Crash Course Biology #19,2051616,18011,800,2565,736,0.29512,1011825.3924632
CrashCourse,a6XtBLDmPA0,UCX6b17PVsYBQ0ip5gyeme-Q,"Int'l Commerce, Snorkeling Camels, and The Indian Ocean Trade: Crash Course World History #18",2561408,24901,412,2901,615,0.09436,1287747.028308
CrashCourse,a6XtBLDmPA0,UCX6b17PVsYBQ0ip5gyeme-Q,"Int'l Commerce, Snorkeling Camels, and The Indian Ocean Trade: Crash Course World History #18",2561408,24901,412,2901,615,0.09436,1287747.028308
CrashCourse,szxPar0BcMo,UCX6b17PVsYBQ0ip5gyeme-Q,Wait For It...The Mongols!: Crash Course World History #17,6480651,77686,2141,12693,691,-0.05458,4228621.889084
CrashCourse,szxPar0BcMo,UCX6b17PVsYBQ0ip5gyeme-Q,Wait For It...The Mongols!: Crash Course World History #17,6480651,77686,2141,12693,691,-0.05458,3266794.6981679997
CrashCourse,jvnU0v6hcUo,UCX6b17PVsYBQ0ip5gyeme-Q,Mansa Musa and Islam in Africa: Crash Course World History #16,3656112,40060,1216,7389,631,0.00392,2384890.450784
CrashCourse,jvnU0v6hcUo,UCX6b17PVsYBQ0ip5gyeme-Q,Mansa Musa and Islam in Africa: Crash Course World History #16,3656112,40060,1216,7389,631,0.00392,1841837.3515680002
CrashCourse,X0zudTQelzI,UCX6b17PVsYBQ0ip5gyeme-Q,The Crusades - Pilgrimage or Holy War?: Crash Course World History #15,5719778,60028,4671,11287,693,-0.07404,2876355.437788
CrashCourse,X0zudTQelzI,UCX6b17PVsYBQ0ip5gyeme-Q,The Crusades - Pilgrimage or Holy War?: Crash Course World History #15,5719778,60028,4671,11287,693,-0.07404,3729623.3351920005
CrashCourse,QV7CanyzhZg,UCX6b17PVsYBQ0ip5gyeme-Q,"The Dark Ages...How Dark Were They, Really?: Crash Course World History #14",6549540,74065,4052,19663,728,0.15054,3239543.9765594
CrashCourse,QV7CanyzhZg,UCX6b17PVsYBQ0ip5gyeme-Q,"The Dark Ages...How Dark Were They, Really?: Crash Course World History #14",6549540,74065,4052,19663,728,0.15054,3296475.485162
CrashCourse,qCLmR9-YY7o,UCX6b17PVsYBQ0ip5gyeme-Q,Meiosis: Where the Sex Starts - Crash Course Biology #13,4053939,34897,870,3287,703,0.27476,2038437.699904
CrashCourse,qCLmR9-YY7o,UCX6b17PVsYBQ0ip5gyeme-Q,Meiosis: Where the Sex Starts - Crash Course Biology #13,4053939,34897,870,3287,703,0.27476,2036629.182428
CrashCourse,TpcbfxtdoI8,UCX6b17PVsYBQ0ip5gyeme-Q,"Islam, the Quran, and the Five Pillars All Without a Flamewar: Crash Course World History #13",8873964,135603,12089,48536,773,-0.1028,4477143.04916
CrashCourse,TpcbfxtdoI8,UCX6b17PVsYBQ0ip5gyeme-Q,"Islam, the Quran, and the Five Pillars All Without a Flamewar: Crash Course World History #13",8873964,135603,12089,48536,773,-0.1028,5796462.72944
CrashCourse,itsb2SqR-R0,UCX6b17PVsYBQ0ip5gyeme-Q,"DNA, Hot Pockets, & The Longest Word Ever: Crash Course Biology #11",4264431,35093,897,3699,848,0.2661,2779042.00322
CrashCourse,itsb2SqR-R0,UCX6b17PVsYBQ0ip5gyeme-Q,"DNA, Hot Pockets, & The Longest Word Ever: Crash Course Biology #11",4264431,35093,897,3699,848,0.2661,2141984.4298300003
CrashCourse,TG55ErfdaeY,UCX6b17PVsYBQ0ip5gyeme-Q,Christianity from Judaism to Constantine: Crash Course World History #11,7015456,71299,7638,26520,697,0.04536,3532445.448144
CrashCourse,TG55ErfdaeY,UCX6b17PVsYBQ0ip5gyeme-Q,Christianity from Judaism to Constantine: Crash Course World History #11,7015456,71299,7638,26520,697,0.04536,4574701.659072
CrashCourse,8kK2zwjRV0M,UCX6b17PVsYBQ0ip5gyeme-Q,DNA Structure and Replication: Crash Course Biology #10,7165238,63081,1685,4696,779,0.09296,3532491.7502256
CrashCourse,8kK2zwjRV0M,UCX6b17PVsYBQ0ip5gyeme-Q,DNA Structure and Replication: Crash Course Biology #10,7165238,63081,1685,4696,779,0.09296,3532491.7502256
CrashCourse,oPf27gAup9U,UCX6b17PVsYBQ0ip5gyeme-Q,The Roman Empire. Or Republic. Or...Which Was It?: Crash Course World History #10,6016483,54911,2004,6199,746,0.36552,3023391.109656
CrashCourse,oPf27gAup9U,UCX6b17PVsYBQ0ip5gyeme-Q,The Roman Empire. Or Republic. Or...Which Was It?: Crash Course World History #10,6016483,54911,2004,6199,746,0.36552,2967486.5502072005
CrashCourse,CBezq1fFUEA,UCX6b17PVsYBQ0ip5gyeme-Q,Heredity: Crash Course Biology #9,3561107,32553,731,2823,618,0.05884,1789552.027652
CrashCourse,CBezq1fFUEA,UCX6b17PVsYBQ0ip5gyeme-Q,Heredity: Crash Course Biology #9,3561107,32553,731,2823,618,0.05884,1756254.6764723998
CrashCourse,vfe-eNq-Qyg,UCX6b17PVsYBQ0ip5gyeme-Q,The Silk Road and Ancient Trade: Crash Course World History #9,4175541,43322,948,4683,631,0.16682,2061447.9883501998
CrashCourse,vfe-eNq-Qyg,UCX6b17PVsYBQ0ip5gyeme-Q,The Silk Road and Ancient Trade: Crash Course World History #9,4175541,43322,948,4683,631,0.16682,2102175.156728
CrashCourse,sQK3Yr4Sc_k,UCX6b17PVsYBQ0ip5gyeme-Q,Photosynthesis: Crash Course Biology #8,5890891,50270,2383,6542,795,-0.08906,2959276.8432819997
CrashCourse,sQK3Yr4Sc_k,UCX6b17PVsYBQ0ip5gyeme-Q,Photosynthesis: Crash Course Biology #8,5890891,50270,2383,6542,795,-0.08906,2904477.2202033997
CrashCourse,00jbG_cfGuQ,UCX6b17PVsYBQ0ip5gyeme-Q,ATP & Respiration: Crash Course Biology #7,7787502,69078,1865,6766,806,0.14594,3916410.2683759998
CrashCourse,00jbG_cfGuQ,UCX6b17PVsYBQ0ip5gyeme-Q,ATP & Respiration: Crash Course Biology #7,7787502,69078,1865,6766,806,0.14594,3912854.973782
CrashCourse,rlx6ur_D51s,UCX6b17PVsYBQ0ip5gyeme-Q,World War II Civilians and Soldiers: Crash Course European History #39,130735,5648,148,557,865,-0.35424,66042.9110336
CrashCourse,Hs_JMydrxZM,UCX6b17PVsYBQ0ip5gyeme-Q,World War II: Crash Course European History #38,252294,7708,274,880,975,0.02422,128715.019688
CrashCourse,xzWL2XPBHMk,UCX6b17PVsYBQ0ip5gyeme-Q,Post-World War I Recovery: Crash Course European History #36,204517,6627,173,709,888,0.01644,104487.49657599999
CrashCourse,U6KR4cLLVzQ,UCX6b17PVsYBQ0ip5gyeme-Q,Russian Revolution and Civil War: Crash Course European History #35,275461,8045,545,1123,856,-0.20642,140326.96743199998
CrashCourse,dPXNZkGYJHM,UCX6b17PVsYBQ0ip5gyeme-Q,"WWI's Civilians, the Homefront, and an Uneasy Peace: Crash Course European History #34",208815,6032,164,537,847,0.11704,106082.825112
CrashCourse,T7Rv4tGRlfc,UCX6b17PVsYBQ0ip5gyeme-Q,The Future of Artificial Intelligence: Crash Course AI #20,101274,2408,94,194,660,-0.2034,51436.97864
CrashCourse,meC5Zl5PC1U,UCX6b17PVsYBQ0ip5gyeme-Q,Modern Life: Crash Course European History #30,166150,5071,222,582,873,-0.29354,84480.021938
CrashCourse,gV0_raKR2UQ,UCX6b17PVsYBQ0ip5gyeme-Q,Algorithmic Bias and Fairness: Crash Course AI #18,46089,1224,145,176,680,0.10038,22999.3010418
CrashCourse,MN8fjAjLLpg,UCX6b17PVsYBQ0ip5gyeme-Q,Migration: Crash Course European History #29,192967,5766,192,613,838,0.233,98089.5799
CrashCourse,eBA7P-zKbi8,UCX6b17PVsYBQ0ip5gyeme-Q,Expansion and Resistance: Crash Course European History #28,176515,5201,284,819,794,-0.15084,89712.41474800002
CrashCourse,_HK5gpg39pY,UCX6b17PVsYBQ0ip5gyeme-Q,Understanding Financial Statements and Accounting: Crash Course Entrepreneurship #15,70397,2080,49,106,763,0.23318000000000005,35186.8756498
CrashCourse,KSjDe9_jZk8,UCX6b17PVsYBQ0ip5gyeme-Q,Italian and German Unification: Crash Course European History #27,306519,8084,188,699,862,-0.40148,200910.669704
CrashCourse,kiInh5STnyQ,UCX6b17PVsYBQ0ip5gyeme-Q,How YouTube knows what you should watch: Crash Course AI #15,46230,1832,41,109,652,0.12402,30447.124804000003
CrashCourse,cXTaP1BD1YY,UCX6b17PVsYBQ0ip5gyeme-Q,Revolutions of 1848: Crash Course European History #26,256180,6627,165,704,985,-0.26854,129953.359438
CrashCourse,_uKp4FHPjHU,UCX6b17PVsYBQ0ip5gyeme-Q,Reform and Revolution 1815-1848: Crash Course European History #25,222421,5665,95,393,846,0.14232,145759.77846399997
CrashCourse,zjK7PWmRRyg,UCX6b17PVsYBQ0ip5gyeme-Q,The Industrial Revolution: Crash Course European History #24,349310,8004,146,714,1026,0.24842,173962.0873262
CrashCourse,DuVw9sGpWUc,UCX6b17PVsYBQ0ip5gyeme-Q,The Congress of Vienna: Crash Course European History #23,256295,6405,92,407,841,-0.24486,130279.05205600001
CrashCourse,5fJl_ZX91l0,UCX6b17PVsYBQ0ip5gyeme-Q,The French Revolution: Crash Course European History #21,340421,8441,211,793,929,0.38204,169757.13202440002
CrashCourse,k108xCzJhbs,UCX6b17PVsYBQ0ip5gyeme-Q,Enlightened Monarchs: Crash Course European History #19,253159,6460,94,436,821,-0.14354,126259.41421059999
CrashCourse,NnoFj2cMRLY,UCX6b17PVsYBQ0ip5gyeme-Q,The Enlightenment: Crash Course European History #18,409847,9304,234,608,983,0.055720000000000006,207473.916716
CrashCourse,6nGCGYWMObE,UCX6b17PVsYBQ0ip5gyeme-Q,How to make an AI read your handwriting (LAB) : Crash Course Ai #5,75481,2701,47,154,1037,0.57718,49656.115436
CrashCourse,lgKrup5oi_A,UCX6b17PVsYBQ0ip5gyeme-Q,Training Neural Networks: Crash Course AI #4,78482,2526,45,128,749,0.2694,39301.329633999994
CrashCourse,oV3ZY6tJiA0,UCX6b17PVsYBQ0ip5gyeme-Q,Neural Networks and Deep Learning: Crash Course AI #3,132527,3694,94,182,743,0.0648,66163.037128
CrashCourse,VwlrvAvcO28,UCX6b17PVsYBQ0ip5gyeme-Q,Eastern Europe Consolidates: Crash Course European History #16,280540,7476,288,818,918,0.5274,142742.43096
CrashCourse,GvYYFloV0aA,UCX6b17PVsYBQ0ip5gyeme-Q,Crash Course Artificial Intelligence Preview,216803,9985,143,671,230,0.2059,111678.13235999999
CrashCourse,YYPAFqQgbqE,UCX6b17PVsYBQ0ip5gyeme-Q,Absolute Monarchy: Crash Course European History #13,402966,8470,164,609,796,-0.0231,204281.19075999997
CrashCourse,cmKHYpC_jVs,UCX6b17PVsYBQ0ip5gyeme-Q,The 17th Century Crisis: Crash Course European History #11,478677,10851,328,825,810,-0.39036,242306.422892
CrashCourse,mU2dhPlJWyY,UCX6b17PVsYBQ0ip5gyeme-Q,"Commerce, Agriculture, and Slavery: Crash Course European History #8",331517,7993,279,608,934,0.35568,165155.04912480002
CrashCourse,0eO0pPrGi6o,UCX6b17PVsYBQ0ip5gyeme-Q,The Protestant Reformation: Crash Course European History #6,514737,10923,229,915,944,0.07224,336833.66444799997
CrashCourse,wOclF9eP5uM,UCX6b17PVsYBQ0ip5gyeme-Q,The Age of Exploration: Crash Course European History #4,598672,10859,328,1008,940,-0.17,297122.38129999995
CrashCourse,Fzq_yuj-oZM,UCX6b17PVsYBQ0ip5gyeme-Q,The Biggest Problems We're Facing Today & The Future of Engineering: Crash Course Engineering #46,89680,2361,120,186,625,0.20208,45480.730624
CrashCourse,tecocKSclwc,UCX6b17PVsYBQ0ip5gyeme-Q,Florence and the Renaissance: Crash Course European History #2,725247,15709,243,919,874,0.412,360687.7953199999
CrashCourse,rNCw2MOfnLQ,UCX6b17PVsYBQ0ip5gyeme-Q,Medieval Europe: Crash Course European History #1,1133011,27906,624,2039,849,0.1462,574169.55386
CrashCourse,8E-oqahDnb8,UCX6b17PVsYBQ0ip5gyeme-Q,The Secret to Business Writing: Crash Course Business - Soft Skills #3,91072,2925,69,140,704,0.3783,59810.375660000005
CrashCourse,M5YKW6fhlss,UCX6b17PVsYBQ0ip5gyeme-Q,Social Media: Crash Course Navigating Digital Information #10,86567,3622,47,284,1011,0.56666,43675.4923326
CrashCourse,KrwtWKPAcRs,UCX6b17PVsYBQ0ip5gyeme-Q,Ecology: Crash Course History of Science #38,87109,2750,27,155,743,0.32354,44326.837062
CrashCourse,p7uvqb8fcdA,UCX6b17PVsYBQ0ip5gyeme-Q,Evaluating Photos & Videos: Crash Course Navigating Digital Information #7,70424,2898,49,250,799,-0.09956,36032.720132
CrashCourse,hxhbOvR2TGk,UCX6b17PVsYBQ0ip5gyeme-Q,Evaluating Evidence: Crash Course Navigating Digital Information #6,89810,3352,59,323,801,0.07282000000000001,45856.241846
CrashCourse,3xdmEwTIsd0,UCX6b17PVsYBQ0ip5gyeme-Q,The Computer and Turing: Crash Course History of Science #36,113763,3764,60,253,714,0.27698,74741.805396
CrashCourse,ih4dY9i9JKE,UCX6b17PVsYBQ0ip5gyeme-Q,Using Wikipedia: Crash Course Navigating Digital Information #5,131088,4880,69,396,856,0.26646,65931.0693106
CrashCourse,uNfUAJBuZ0s,UCX6b17PVsYBQ0ip5gyeme-Q,How Engineering Robots Works: Crash Course Engineering #33,78512,2006,57,133,662,0.26706,39147.7893766
CrashCourse,GoQG6Tin-1E,UCX6b17PVsYBQ0ip5gyeme-Q,Check Yourself with Lateral Reading: Crash Course Navigating Digital Information #3,175388,5654,122,411,832,-0.0127,115179.09746
CrashCourse,c7fqMPDcKXM,UCX6b17PVsYBQ0ip5gyeme-Q,Bertolt Brecht and Epic Theater: Crash Course Theater #44,91573,2472,34,133,711,0.23278,45704.1556058
CrashCourse,pLlv2o6UfTU,UCX6b17PVsYBQ0ip5gyeme-Q,Introduction to Crash Course Navigating Digital Information #1,228961,10676,127,803,814,0.0855,118041.00420000001
CrashCourse,uHUO6PrsOzg,UCX6b17PVsYBQ0ip5gyeme-Q,Preventing Flint - Environmental Engineering: Crash Course Engineering #29,82127,2321,52,162,614,0.01942,53878.05388399999
CrashCourse,L4aNmdL3Hr0,UCX6b17PVsYBQ0ip5gyeme-Q,Crash Course Navigating Digital Information Preview,153017,5316,65,453,312,0.11824,100565.67364800001
CrashCourse,JoscDcbAjbY,UCX6b17PVsYBQ0ip5gyeme-Q,Electricity: Crash Course History of Science #27,153097,3410,148,432,753,0.15236,77503.225708
CrashCourse,oOuu8IBd-yo,UCX6b17PVsYBQ0ip5gyeme-Q,ANOVA: Crash Course Statistics #33,135970,2127,113,138,797,0.23282,68560.96984599999
CrashCourse,JeCKftkNKJ0,UCX6b17PVsYBQ0ip5gyeme-Q,Eugenics and Francis Galton: Crash Course History of Science #23,195834,4633,263,907,741,0.13392,97719.8747312
CrashCourse,WWqE7YHR4Jc,UCX6b17PVsYBQ0ip5gyeme-Q,Regression: Crash Course Statistics #32,181305,3355,107,172,760,0.5632,91566.34896
CrashCourse,dfsUz2O2jww,UCX6b17PVsYBQ0ip5gyeme-Q,Darwin and Natural Selection: Crash Course History of Science #22,346398,6650,212,709,790,0.12212,175050.966636
CrashCourse,V2381lUhqc0,UCX6b17PVsYBQ0ip5gyeme-Q,Earth Science: Crash Course History of Science #20,233109,4469,94,359,824,0.02442,117802.32732600001
CrashCourse,K4CKmYSMT_0,UCX6b17PVsYBQ0ip5gyeme-Q,Biology Before Darwin: Crash Course History of Science #19,233561,5025,86,322,771,0.14858,118174.354574
CrashCourse,iZOXW5aaCZg,UCX6b17PVsYBQ0ip5gyeme-Q,"Heat Engines, Refrigerators, & Cycles: Crash Course Engineering #11",104611,2229,67,141,644,0.39378,68469.22875600001
CrashCourse,VxCORJ8dN3Y,UCX6b17PVsYBQ0ip5gyeme-Q,The Law of Conservation: Crash Course Engineering #7,144320,3122,87,144,606,0.36842,73009.800526
CrashCourse,0wDlLwLIFeI,UCX6b17PVsYBQ0ip5gyeme-Q,Cathedrals and Universities: Crash Course History of Science #11,221718,5106,90,398,750,0.1195,110406.15314499999
CrashCourse,O6lENrRANxY,UCX6b17PVsYBQ0ip5gyeme-Q,Biomedical & Industrial Engineering: Crash Course Engineering #6,222052,5289,74,297,627,0.30334,112776.05133599999
CrashCourse,aRKyJRAxjpM,UCX6b17PVsYBQ0ip5gyeme-Q,The History of Chemical Engineering: Crash Course Engineering #5,196733,4522,81,269,540,0.1488,128810.47976
CrashCourse,iGiZXQVGpbY,UCX6b17PVsYBQ0ip5gyeme-Q,Ancient & Medieval Medicine: Crash Course History of Science #9,365219,7877,152,411,726,0.07392,184765.362176
CrashCourse,F6Su3rBxea8,UCX6b17PVsYBQ0ip5gyeme-Q,Medieval China: Crash Course History of Science #8,446072,8981,220,1032,755,0.3259,221791.635849
CrashCourse,btGYcizV0iI,UCX6b17PVsYBQ0ip5gyeme-Q,What is Engineering?: Crash Course Engineering #1,577195,15114,327,1191,577,0.25478,292767.176434
CrashCourse,bkVsus8Ehxs,UCX6b17PVsYBQ0ip5gyeme-Q,The Medieval Islamicate World: Crash Course History of Science #7,593230,17700,620,3079,784,-0.01888,301679.32433599996
CrashCourse,ToC8rFFp88Y,UCX6b17PVsYBQ0ip5gyeme-Q,Crash Course Engineering Preview,386868,8595,92,740,130,0.0263,196297.51052
CrashCourse,GcReek3z_38,UCX6b17PVsYBQ0ip5gyeme-Q,Roman Engineering: Crash Course History of Science #6,517503,10389,354,793,749,0.17754,257104.8895294
CrashCourse,dCBDUDwaeCA,UCX6b17PVsYBQ0ip5gyeme-Q,The Americas and Time Keeping: Crash Course History of Science #5,305174,6044,146,518,769,-0.02298,199618.345404
CrashCourse,J1IyUPMXwS0,UCX6b17PVsYBQ0ip5gyeme-Q,Just Say Noh. But Also Say Kyogen: Crash Course Theater #11,102452,2485,46,154,775,0.13442,51043.57478619999
CrashCourse,rh0fxJkvL44,UCX6b17PVsYBQ0ip5gyeme-Q,Plato and Aristotle: Crash Course History of Science #3,657389,12211,286,645,749,0.55714,326194.6712854
CrashCourse,epCOGAa7tRQ,UCX6b17PVsYBQ0ip5gyeme-Q,The Presocratics: Crash Course History of Science #2,462016,9936,140,603,752,0.14032,229763.77543520002
CrashCourse,kX0jHv05FYM,UCX6b17PVsYBQ0ip5gyeme-Q,The Death and Resurrection of Theater as...Liturgical Drama: Crash Course Theater #8,85858,1859,39,131,754,0.1207,56218.62414000001
CrashCourse,YvtCLceNf30,UCX6b17PVsYBQ0ip5gyeme-Q,Intro to History of Science: Crash Course History of Science #1,575068,15311,276,1039,740,0.12174,376914.52434800006
CrashCourse,bPFNxD3Yg6U,UCX6b17PVsYBQ0ip5gyeme-Q,The Shape of Data: Distributions: Crash Course Statistics #7,251454,3988,86,197,683,-0.01868,127038.002528
CrashCourse,oXf0F4GYzWQ,UCX6b17PVsYBQ0ip5gyeme-Q,"History of Media Literacy, Part 1: Crash Course Media Literacy #2",160231,3681,49,197,591,0.1226,79754.243486
CrashCourse,nGlQkaoIfBI,UCX6b17PVsYBQ0ip5gyeme-Q,Tragedy Lessons from Aristotle: Crash Course Theater #3,219572,4248,84,214,750,0.20526,109008.3825786
CrashCourse,hEWY6kkBdpo,UCX6b17PVsYBQ0ip5gyeme-Q,Charts Are Like Pasta - Data Visualization Part 1: Crash Course Statistics #5,196034,3568,113,201,622,0.45134,98988.055402
CrashCourse,sNWrOuwzax8,UCX6b17PVsYBQ0ip5gyeme-Q,What Is Theater? Crash Course Theater #1,295941,6749,124,481,847,-0.29348,193764.641304
CrashCourse,kn83BA7cRNM,UCX6b17PVsYBQ0ip5gyeme-Q,"Mean, Median, and Mode: Measures of Central Tendency: Crash Course Statistics #3",380756,6679,141,345,683,0.5726600000000001,192203.201798
CrashCourse,5xTh44G6RYs,UCX6b17PVsYBQ0ip5gyeme-Q,"Pride and Prejudice, Part 1: Crash Course Literature 411",465574,12897,131,536,704,0.13576,305252.02715200005
CrashCourse,LEN8FZEKaNU,UCX6b17PVsYBQ0ip5gyeme-Q,Crash Course Theater and Drama Preview!,232961,5639,52,639,229,0.16172,116194.34778920001
CrashCourse,qmpDK-8ib2Y,UCX6b17PVsYBQ0ip5gyeme-Q,Mythical Language and Idiom: Crash Course World Mythology #41,262631,9741,97,1298,769,0.05208,172797.510416
CrashCourse,sxQaBpKfDRk,UCX6b17PVsYBQ0ip5gyeme-Q,What Is Statistics: Crash Course Statistics #1,818325,14614,335,852,780,-0.13,413147.791
CrashCourse,zouPoc49xbk,UCX6b17PVsYBQ0ip5gyeme-Q,Crash Course Statistics Preview,528844,11353,77,892,180,0.39092,267600.95727599994
CrashCourse,S294zRodS_4,UCX6b17PVsYBQ0ip5gyeme-Q,Education In Society: Crash Course Sociology #40,189929,3553,297,288,692,0.08488,95888.80546399999
CrashCourse,rtepIKeNHPU,UCX6b17PVsYBQ0ip5gyeme-Q,The Yellow Wallpaper: Crash Course Literature 407,427320,10955,183,552,815,0.19412,213054.66135319998
CrashCourse,SWXNSkE3YEk,UCX6b17PVsYBQ0ip5gyeme-Q,Serpents and Dragons: Crash Course World Mythology #38,526016,12355,229,1021,684,0.08943999999999999,344449.017888
CrashCourse,rIrLuqTRqr0,UCX6b17PVsYBQ0ip5gyeme-Q,To Film School or Not To Film School: Crash Course Film Production #14,179292,5530,207,327,572,0.0051600000000000005,91135.42154800001
CrashCourse,JBYqV2sK918,UCX6b17PVsYBQ0ip5gyeme-Q,"George Orwell's 1984, Part 2: Crash Course Literature 402",600044,14376,252,1065,762,-0.18392,304759.94643199997
